comment_id,text,text_clean,vader_label,vader_score,distilbert_label,distilbert_score,lda_topic
1,Petition for his voice to become a phone assistant,petition for his voice to become a phone assistant,neutral,0.0,negative,0.9957,5
2,"Someone: starts doing gang/naruto signs

Facetime: moves them to the top",someone starts doing gang naruto signs facetime moves them to the top,positive,0.2023,positive,0.9748,1
3,Best breakdown so far. Everyone else is just reiterating the details from the reveal.,best breakdown so far everyone else is just reiterating the details from the reveal,positive,0.6369,negative,0.9791,4
4,YouTube is getting really comfortable with these double unskippable ads,youtube is getting really comfortable with these double unskippable ads,positive,0.5563,positive,0.565,1
5,"Whenever he says ""I've been using this for around..."" I expect him to say 2 weeks",whenever he says i ve been using this for around i expect him to say weeks,neutral,0.0,negative,0.9969,2
6,"""I've had this for about a day now...""

I expected at least a week, Marques.",i ve had this for about a day now i expected at least a week marques,neutral,0.0,negative,0.9511,2
7,"Make a shirt that says ""so I have had this shirt for about a week now here are my thoughts""",make a shirt that says so i have had this shirt for about a week now here are my thoughts,neutral,0.0,negative,0.9908,2
8,"Android users: Wait I’ve seen this before. 
iOS users: what are you talking about. This is brand New.",android users wait ive seen this before ios users what are you talking about this is brand new,neutral,0.0,negative,0.9857,1
9,"Now I don’t have to lie and say “I missed your call” when I was waiting for it to end

I can actually ignore you now",now i dont have to lie and say i missed your call when i was waiting for it to end i can actually ignore you now,negative,-0.5719,negative,0.9976,3
10,"Me in Facetime calls making gangsigns.

Apple: Ah this helpful soul is translating in sign language",me in facetime calls making gangsigns apple ah this helpful soul is translating in sign language,positive,0.5023,negative,0.9436,5
11,The “incoming call” not taking up the entire screen is going to be useful!!!,the incoming call not taking up the entire screen is going to be useful,positive,0.4404,negative,0.9988,3
12,Phone hella dry so I’m just playing this update like a game,phone hella dry so im just playing this update like a game,positive,0.552,negative,0.9983,4
13,"When you mentioned the hearing accessibility feature, I literally screamed! As a deaf person, I never hear things like the tap, the doorbell, the cat at the door etc. so I’m incredibly intrigued to see how well this feature works, because if it’s good, it will literally change my life!                 ETA: For those wondering, I use subtitles along with my hearing implants to hear what is said in videos. And rely on lip reading and the implants in everyday life. Just because I use assistive technology, doesn’t mean I am not deaf, because without this technology I would struggle to hear an air horn next to my head, and even with it, I still rely partially on lip reading to understand what is being said.",when you mentioned the hearing accessibility feature i literally screamed as a deaf person i never hear things like the tap the doorbell the cat at the door etc so im incredibly intrigued to see how well this feature works because if its good it will literally change my life eta for those wondering i use subtitles along with my hearing implants to hear what is said in videos and rely on lip reading and the implants in everyday life just because i use assistive technology doesnt mean i am not deaf because without this technology i would struggle to hear an air horn next to my head and even with it i still rely partially on lip reading to understand what is being said,negative,-0.1803,positive,0.9882,5
14,"Can hide home pages 
Kids with strict parents: hell yeah",can hide home pages kids with strict parents hell yeah,negative,-0.6249,negative,0.9908,3
15,Asking Siri to open google assistant is like asking dominos for Pizza Hut’s number.,asking siri to open google assistant is like asking dominos for pizza huts number,positive,0.4215,negative,0.9971,4
16,Back tap is the most innovative feature Apple has come out with in the last 5 years,back tap is the most innovative feature apple has come out with in the last years,positive,0.4927,positive,0.9996,1
17,I'm actually a huge fan of the little colored dots to know when something is using my camera and mic,i m actually a huge fan of the little colored dots to know when something is using my camera and mic,positive,0.5574,positive,0.9959,1
18,"""So I've had this beta for about...




A day now""

Not gonna lie, you had me in the first half.",so i ve had this beta for about a day now not gonna lie you had me in the first half,neutral,0.0,negative,0.9333,3
19,"The ability to ignore a call without having to let it wait through is the most appreciated of all, you honestly have no clue",the ability to ignore a call without having to let it wait through is the most appreciated of all you honestly have no clue,positive,0.6361,positive,0.9979,5
20,To the person reading this I hope you become successful one day and have an amazing day I wish you the best and nothing but the best❤️❤️❤️,to the person reading this i hope you become successful one day and have an amazing day i wish you the best and nothing but the best,positive,0.5644,positive,0.9999,2
21,He could be another cameo for Google's maybe.,he could be another cameo for google s maybe,neutral,0.0,negative,0.9935,3
22,"""What is up guys, Google Assistant here.""",what is up guys google assistant here,neutral,0.0,positive,0.9144,5
23,Either him or MrWhoseTheBoss. They both sound so soothing.,either him or mrwhosetheboss they both sound so soothing,positive,0.4572,positive,0.9973,2
24,Devarshi Dalal ergojosh tho very soothing,devarshi dalal ergojosh tho very soothing,positive,0.3804,positive,0.9944,5
25,Devarshi Dalal I agree 10 billion percent,devarshi dalal i agree billion percent,positive,0.3612,positive,0.9833,3
26, @devarshidalal3152  What about both?,what about both,neutral,0.0,positive,0.9967,1
27,Jerryrigeverything?,jerryrigeverything,neutral,0.0,negative,0.9751,1
28, @neonslayer8264   YESSSS,yessss,neutral,0.0,positive,0.9821,3
29,Neonslayer78 NO,neonslayer no,negative,-0.296,negative,0.989,1
30,Neonslayer78 yes,neonslayer yes,positive,0.4019,positive,0.9972,1
31,lmao,lmao,positive,0.5994,positive,0.8618,5
32,Righttt,righttt,neutral,0.0,positive,0.9998,1
33,Lmaoo ohhh truueee 😀😂😂😂,lmaoo ohhh truueee,neutral,0.0,negative,0.981,5
34,yess,yess,neutral,0.0,positive,0.9996,1
35,Have chills,have chills,neutral,0.0,negative,0.5784,1
36,Mrwhostheboss and jerry rig everything as well,mrwhostheboss and jerry rig everything as well,positive,0.1531,negative,0.9605,5
37,Yes,yes,positive,0.4019,positive,0.9998,1
38,i change from 2.6 to 2.7 its soooo satisfying to watch lol,i change from to its soooo satisfying to watch lol,positive,0.7003,positive,0.9922,5
39,no way marques hearted this comment,no way marques hearted this comment,negative,-0.296,negative,0.9845,5
40,i beg to differ,i beg to differ,neutral,0.0,negative,0.9495,1
41,and if it was MICHAEL JACKSON'S voice 🤔🤔,and if it was michael jackson s voice,neutral,0.0,positive,0.5427,1
42,I need the caillu narrator,i need the caillu narrator,neutral,0.0,negative,0.9795,1
43,Google should do it.,google should do it,neutral,0.0,positive,0.7353,5
44,Book audio matey,book audio matey,neutral,0.0,positive,0.9853,3
