comment_id,text,text_clean,text_filtered,tokens
1,Petition for his voice to become a phone assistant,petition for his voice to become a phone assistant,petition voice become phone assistant,"['petition', 'voice', 'become', 'phone', 'assistant']"
2,"Someone: starts doing gang/naruto signs

Facetime: moves them to the top",someone starts doing gang naruto signs facetime moves them to the top,someone starts gang naruto signs facetime moves top,"['someone', 'starts', 'gang', 'naruto', 'signs', 'facetime', 'moves', 'top']"
3,Best breakdown so far. Everyone else is just reiterating the details from the reveal.,best breakdown so far everyone else is just reiterating the details from the reveal,best breakdown far everyone else reiterating details reveal,"['best', 'breakdown', 'far', 'everyone', 'else', 'reiterating', 'details', 'reveal']"
4,YouTube is getting really comfortable with these double unskippable ads,youtube is getting really comfortable with these double unskippable ads,youtube getting really comfortable double unskippable ads,"['youtube', 'getting', 'really', 'comfortable', 'double', 'unskippable', 'ads']"
5,"Whenever he says ""I've been using this for around..."" I expect him to say 2 weeks",whenever he says i ve been using this for around i expect him to say weeks,whenever says using around expect say weeks,"['whenever', 'says', 'using', 'around', 'expect', 'say', 'weeks']"
6,"""I've had this for about a day now...""

I expected at least a week, Marques.",i ve had this for about a day now i expected at least a week marques,day expected least week marques,"['day', 'expected', 'least', 'week', 'marques']"
7,"Make a shirt that says ""so I have had this shirt for about a week now here are my thoughts""",make a shirt that says so i have had this shirt for about a week now here are my thoughts,make shirt says shirt week thoughts,"['make', 'shirt', 'says', 'shirt', 'week', 'thoughts']"
8,"Android users: Wait I’ve seen this before. 
iOS users: what are you talking about. This is brand New.",android users wait ive seen this before ios users what are you talking about this is brand new,android users wait ive seen ios users talking brand new,"['android', 'users', 'wait', 'ive', 'seen', 'ios', 'users', 'talking', 'brand', 'new']"
9,"Now I don’t have to lie and say “I missed your call” when I was waiting for it to end

I can actually ignore you now",now i dont have to lie and say i missed your call when i was waiting for it to end i can actually ignore you now,dont lie say missed call waiting end actually ignore,"['dont', 'lie', 'say', 'missed', 'call', 'waiting', 'end', 'actually', 'ignore']"
10,"Me in Facetime calls making gangsigns.

Apple: Ah this helpful soul is translating in sign language",me in facetime calls making gangsigns apple ah this helpful soul is translating in sign language,facetime calls making gangsigns apple ah helpful soul translating sign language,"['facetime', 'calls', 'making', 'gangsigns', 'apple', 'ah', 'helpful', 'soul', 'translating', 'sign', 'language']"
11,The “incoming call” not taking up the entire screen is going to be useful!!!,the incoming call not taking up the entire screen is going to be useful,incoming call taking entire screen going useful,"['incoming', 'call', 'taking', 'entire', 'screen', 'going', 'useful']"
12,Phone hella dry so I’m just playing this update like a game,phone hella dry so im just playing this update like a game,phone hella dry im playing update like game,"['phone', 'hella', 'dry', 'im', 'playing', 'update', 'like', 'game']"
